Tempo,napoli campione: (Italia)
2023-04-29T00,1
2023-04-29T01,1
2023-04-29T02,< 1
2023-04-29T03,1
2023-04-29T04,1
2023-04-29T05,< 1
2023-04-29T06,1
2023-04-29T07,1
2023-04-29T08,1
2023-04-29T09,1
2023-04-29T10,1
2023-04-29T11,1
2023-04-29T12,1
2023-04-29T13,2
2023-04-29T14,1
2023-04-29T15,1
2023-04-29T16,1
2023-04-29T17,1
2023-04-29T18,2
2023-04-29T19,2
2023-04-29T20,2
2023-04-29T21,2
2023-04-29T22,2
2023-04-29T23,2
2023-04-30T00,2
2023-04-30T01,2
2023-04-30T02,2
2023-04-30T03,2
2023-04-30T04,2
2023-04-30T05,1
2023-04-30T06,2
2023-04-30T07,3
2023-04-30T08,3
2023-04-30T09,3
2023-04-30T10,4
2023-04-30T11,4
2023-04-30T12,7
2023-04-30T13,11
2023-04-30T14,29
2023-04-30T15,22
2023-04-30T16,40
2023-04-30T17,54
2023-04-30T18,18
2023-04-30T19,10
2023-04-30T20,7
2023-04-30T21,5
2023-04-30T22,7
2023-04-30T23,6
2023-05-01T00,5
2023-05-01T01,4
2023-05-01T02,4
2023-05-01T03,4
2023-05-01T04,3
2023-05-01T05,1
2023-05-01T06,3
2023-05-01T07,3
2023-05-01T08,2
2023-05-01T09,2
2023-05-01T10,2
2023-05-01T11,2
2023-05-01T12,1
2023-05-01T13,1
2023-05-01T14,1
2023-05-01T15,1
2023-05-01T16,1
2023-05-01T17,1
2023-05-01T18,1
2023-05-01T19,1
2023-05-01T20,1
2023-05-01T21,1
2023-05-01T22,1
2023-05-01T23,1
2023-05-02T00,1
2023-05-02T01,1
2023-05-02T02,0
2023-05-02T03,0
2023-05-02T04,1
2023-05-02T05,2
2023-05-02T06,1
2023-05-02T07,1
2023-05-02T08,1
2023-05-02T09,1
2023-05-02T10,1
2023-05-02T11,1
2023-05-02T12,1
2023-05-02T13,1
2023-05-02T14,1
2023-05-02T15,1
2023-05-02T16,< 1
2023-05-02T17,1
2023-05-02T18,1
2023-05-02T19,1
2023-05-02T20,1
2023-05-02T21,1
2023-05-02T22,1
2023-05-02T23,1
2023-05-03T00,1
2023-05-03T01,1
2023-05-03T02,2
2023-05-03T03,1
2023-05-03T04,3
2023-05-03T05,1
2023-05-03T06,1
2023-05-03T07,1
2023-05-03T08,1
2023-05-03T09,1
2023-05-03T10,1
2023-05-03T11,1
2023-05-03T12,1
2023-05-03T13,1
2023-05-03T14,1
2023-05-03T15,1
2023-05-03T16,1
2023-05-03T17,1
2023-05-03T18,1
2023-05-03T19,2
2023-05-03T20,3
2023-05-03T21,4
2023-05-03T22,5
2023-05-03T23,7
2023-05-04T00,5
2023-05-04T01,4
2023-05-04T02,3
2023-05-04T03,5
2023-05-04T04,5
2023-05-04T05,6
2023-05-04T06,6
2023-05-04T07,4
2023-05-04T08,3
2023-05-04T09,2
2023-05-04T10,1
2023-05-04T11,1
2023-05-04T12,2
2023-05-04T13,3
2023-05-04T14,2
2023-05-04T15,1
2023-05-04T16,2
2023-05-04T17,2
2023-05-04T18,3
2023-05-04T19,4
2023-05-04T20,5
2023-05-04T21,6
2023-05-04T22,90
2023-05-04T23,100
2023-05-05T00,57
2023-05-05T01,50
2023-05-05T02,39
2023-05-05T03,37
2023-05-05T04,37
2023-05-05T05,46
2023-05-05T06,47
2023-05-05T07,42
2023-05-05T08,26
2023-05-05T09,15
2023-05-05T10,10
2023-05-05T11,8
2023-05-05T12,7
2023-05-05T13,7
2023-05-05T14,7
2023-05-05T15,5
2023-05-05T16,5
2023-05-05T17,4
2023-05-05T18,4
2023-05-05T19,5
2023-05-05T20,4
2023-05-05T21,4
2023-05-05T22,4
2023-05-05T23,4
